N,Frames,TiempoTotal,FPSPromedio
10,200,0.548146,364.867
10,200,0.504255,396.624
10,200,0.468476,426.916
10,200,0.483879,413.327
10,200,0.537495,372.097
10,200,0.495851,403.347
10,200,0.421587,474.398
10,200,0.446519,447.909
10,200,0.429082,466.111
10,200,0.457077,437.563
50,200,0.655764,304.988
50,200,0.832053,240.369
50,200,0.753517,265.422
50,200,0.633522,315.696
50,200,0.62599,319.494
50,200,1.08234,184.785
50,200,1.15579,173.042
50,200,0.602525,331.937
50,200,0.712069,280.872
50,200,0.729411,274.194
100,200,0.865302,231.133
100,200,0.878291,227.715
100,200,0.756632,264.329
100,200,0.873063,229.079
100,200,0.674289,296.609
100,200,0.708989,282.092
100,200,0.898065,222.701
100,200,0.969605,206.269
100,200,0.85355,234.315
100,200,0.92083,217.195
150,200,0.880087,227.25
150,200,0.940494,212.654
150,200,1.10215,181.464
150,200,1.36336,146.696
150,200,0.973964,205.346
150,200,0.90302,221.479
150,200,1.24394,160.779
150,200,1.00607,198.793
150,200,0.909334,219.941
150,23,0.199375,115.361
200,200,0.910105,219.755
200,200,0.774179,258.338
200,190,0.678006,280.234
200,200,0.712704,280.622
200,200,0.64878,308.271
200,200,0.890791,224.519
200,200,0.649017,308.159
200,200,0.793838,251.94
200,200,0.93195,214.604
200,200,0.638857,313.059
